,front_right,front_left,rear_right,rear_left,time,d_locrot_theta,d_local_xy,x,y,global_theta,d_trans,d_rot1,d_rot2
111,0.0,0.0,0.0,0.0,1298445277.30965,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,1298445277.339549,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,1298445277.359012,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,1298445277.385024,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,1298445277.40884,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,1298445277.43921,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0,1298445277.459008,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,1298445277.485175,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,1298445277.508646,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,1298445277.539192,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0,1298445277.558494,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,1298445277.585108,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,1298445277.608434,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,1298445277.634192,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,1298445277.658384,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0,1298445277.684043,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,1298445277.708793,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0,1298445277.73415,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,1298445277.757646,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,1298445277.784496,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0,1298445277.816638,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0,1298445277.848261,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
133,0.0,0.0,0.0,0.0,1298445277.856826,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0,1298445277.884506,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0,1298445277.910239,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0,1298445277.93385,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0,1298445277.957516,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0,1298445277.983771,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0,1298445278.007541,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,1298445278.034216,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,1298445278.057017,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,1298445278.082813,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0,1298445278.107498,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0,1298445278.132858,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,1298445278.157164,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0,1298445278.183479,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0,1298445278.208097,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0,1298445278.23319,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0,1298445278.255879,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,1298445278.283447,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0,1298445278.308089,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0,1298445278.333504,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,0.0,1298445278.355995,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
154,0.0,0.0,0.0,0.0,1298445278.383605,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,0.0,1298445278.408646,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
156,0.0,0.0,0.0,0.0,1298445278.433142,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
157,0.0,0.0,0.0,0.0,1298445278.455809,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
158,0.0,0.0,0.0,0.0,1298445278.482368,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
